wavelength_nm,srf
8.290000000000000000e+02,0.000000000000000000e+00
8.300000000000000000e+02,1.100000008591450751e-05
8.310000000000000000e+02,4.999999873689375818e-05
8.320000000000000000e+02,9.999999747378751636e-05
8.330000000000000000e+02,2.390000008745118976e-04
8.340000610351562500e+02,3.140000044368207455e-04
8.350000000000000000e+02,4.949999856762588024e-04
8.360000000000000000e+02,7.190000033006072044e-04
8.370000000000000000e+02,9.860000573098659515e-04
8.380000000000000000e+02,1.444999943487346172e-03
8.390000000000000000e+02,2.106999978423118591e-03
8.400000000000000000e+02,3.160000080242753029e-03
8.410000000000000000e+02,4.743999801576137543e-03
8.420000000000000000e+02,7.058999966830015182e-03
8.430000000000000000e+02,1.090000011026859283e-02
8.440000000000000000e+02,1.734600029885768890e-02
8.450000000000000000e+02,2.833200059831142426e-02
8.460000000000000000e+02,4.819099977612495422e-02
8.470000610351562500e+02,8.436299860477447510e-02
8.480000000000000000e+02,1.453649997711181641e-01
8.489999389648437500e+02,2.497330009937286377e-01
8.500000000000000000e+02,4.035260081291198730e-01
8.510000610351562500e+02,5.826230049133300781e-01
8.520000000000000000e+02,7.450370192527770996e-01
8.530000000000000000e+02,8.903149962425231934e-01
8.540000000000000000e+02,9.602149724960327148e-01
8.550000000000000000e+02,9.868329763412475586e-01
8.560000000000000000e+02,9.731330275535583496e-01
8.570000000000000000e+02,9.806060194969177246e-01
8.580000000000000000e+02,9.961199760437011719e-01
8.590000000000000000e+02,1.000000000000000000e+00
8.600000000000000000e+02,9.897770285606384277e-01
8.609999389648437500e+02,9.807329773902893066e-01
8.620000000000000000e+02,9.759349822998046875e-01
8.630000000000000000e+02,9.720429778099060059e-01
8.640000000000000000e+02,9.573569893836975098e-01
8.650000000000000000e+02,9.512090086936950684e-01
8.660000000000000000e+02,9.470440149307250977e-01
8.670000000000000000e+02,9.531620144844055176e-01
8.680000000000000000e+02,9.514989852905273438e-01
8.690000000000000000e+02,9.484500288963317871e-01
8.700000000000000000e+02,9.400939941406250000e-01
8.710000000000000000e+02,9.506319761276245117e-01
8.720000000000000000e+02,9.560790061950683594e-01
8.730000000000000000e+02,9.664599895477294922e-01
8.740000000000000000e+02,9.698209762573242188e-01
8.750000000000000000e+02,9.366099834442138672e-01
8.760000000000000000e+02,8.910660147666931152e-01
8.770000000000000000e+02,7.887330055236816406e-01
8.780000000000000000e+02,6.353200078010559082e-01
8.790000000000000000e+02,4.483639895915985107e-01
8.800000000000000000e+02,2.888469994068145752e-01
8.809999389648437500e+02,1.746190041303634644e-01
8.820000000000000000e+02,1.003429964184761047e-01
8.830000000000000000e+02,5.826500058174133301e-02
8.840000610351562500e+02,3.453199937939643860e-02
8.850000610351562500e+02,2.071999944746494293e-02
8.860000000000000000e+02,1.243999972939491272e-02
8.870000000000000000e+02,7.600999902933835983e-03
8.879999389648437500e+02,4.701999947428703308e-03
8.890000000000000000e+02,2.944000065326690674e-03
8.900000000000000000e+02,1.870000036433339119e-03
8.910000000000000000e+02,1.191999996080994606e-03
8.920000000000000000e+02,7.430000114254653454e-04
8.930000000000000000e+02,4.229999904055148363e-04
8.940000000000000000e+02,2.410000015515834093e-04
8.950000000000000000e+02,1.160000028903596103e-04
8.960000610351562500e+02,4.400000034365803003e-05
8.969999389648437500e+02,0.000000000000000000e+00
8.980000000000000000e+02,0.000000000000000000e+00
8.990000000000000000e+02,0.000000000000000000e+00
9.000000000000000000e+02,0.000000000000000000e+00
