wavelength_nm,srf
2.037000000000000000e+03,0.000000000000000000e+00
2.038000000000000000e+03,3.700000161188654602e-05
2.039000000000000000e+03,8.299999899463728070e-05
2.039999877929687500e+03,1.309999934164807200e-04
2.041000000000000000e+03,1.789999951142817736e-04
2.042000000000000000e+03,2.399999939370900393e-04
2.043000000000000000e+03,3.049999941140413284e-04
2.044000122070312500e+03,3.680000081658363342e-04
2.045000000000000000e+03,4.299999854993075132e-04
2.046000000000000000e+03,5.119999987073242664e-04
2.047000000000000000e+03,5.990000208839774132e-04
2.048000000000000000e+03,7.040000054985284805e-04
2.049000000000000000e+03,8.140000281855463982e-04
2.050000000000000000e+03,9.469999931752681732e-04
2.051000000000000000e+03,1.084999996237456799e-03
2.052000000000000000e+03,1.221999991685152054e-03
2.053000000000000000e+03,1.359999994747340679e-03
2.054000000000000000e+03,1.546000014059245586e-03
2.055000000000000000e+03,1.745000015944242477e-03
2.056000000000000000e+03,1.964000053703784943e-03
2.057000000000000000e+03,2.186999889090657234e-03
2.058000000000000000e+03,2.438999945297837257e-03
2.059000000000000000e+03,2.696000039577484131e-03
2.060000000000000000e+03,3.010000102221965790e-03
2.061000000000000000e+03,3.339000046253204346e-03
2.062000000000000000e+03,3.733000019565224648e-03
2.063000000000000000e+03,4.141000099480152130e-03
2.064000000000000000e+03,4.627000074833631516e-03
2.065000000000000000e+03,5.136999767273664474e-03
2.066000000000000000e+03,5.727999843657016754e-03
2.067000000000000000e+03,6.337000057101249695e-03
2.068000000000000000e+03,7.139000110328197479e-03
2.069000000000000000e+03,7.996000349521636963e-03
2.070000000000000000e+03,8.902999572455883026e-03
2.071000000000000000e+03,9.824000298976898193e-03
2.072000000000000000e+03,1.100500021129846573e-02
2.073000000000000000e+03,1.226100046187639236e-02
2.074000000000000000e+03,1.360999979078769684e-02
2.075000000000000000e+03,1.498700026422739029e-02
2.076000000000000000e+03,1.687199994921684265e-02
2.077000000000000000e+03,1.889899931848049164e-02
2.078000000000000000e+03,2.099999971687793732e-02
2.079000000000000000e+03,2.312099933624267578e-02
2.080000000000000000e+03,2.589699998497962952e-02
2.081000000000000000e+03,2.884699963033199310e-02
2.082000000000000000e+03,3.207100182771682739e-02
2.083000000000000000e+03,3.536299988627433777e-02
2.084000000000000000e+03,4.020600020885467529e-02
2.085000000000000000e+03,4.543200135231018066e-02
2.086000000000000000e+03,5.090299993753433228e-02
2.087000000000000000e+03,5.642899870872497559e-02
2.088000000000000000e+03,6.327000260353088379e-02
2.089000000000000000e+03,7.040899991989135742e-02
2.090000000000000000e+03,7.938200235366821289e-02
2.091000000000000000e+03,8.890700340270996094e-02
2.092000000000000000e+03,1.006399989128112793e-01
2.093000000000000000e+03,1.128299981355667114e-01
2.094000000000000000e+03,1.282919943332672119e-01
2.095000000000000000e+03,1.446679979562759399e-01
2.096000000000000000e+03,1.620550006628036499e-01
2.097000000000000000e+03,1.797139942646026611e-01
2.098000000000000000e+03,2.027799934148788452e-01
2.099000000000000000e+03,2.272340059280395508e-01
2.100000000000000000e+03,2.537319958209991455e-01
2.101000000000000000e+03,2.809250056743621826e-01
2.102000000000000000e+03,3.113470077514648438e-01
2.103000000000000000e+03,3.425259888172149658e-01
2.104000000000000000e+03,3.770439922809600830e-01
2.105000000000000000e+03,4.126209914684295654e-01
2.106000000000000000e+03,4.504700005054473877e-01
2.107000000000000000e+03,4.888159930706024170e-01
2.108000000000000000e+03,5.224580168724060059e-01
2.109000000000000000e+03,5.547149777412414551e-01
2.110000000000000000e+03,5.932270288467407227e-01
2.111000000000000000e+03,6.335210204124450684e-01
2.112000000000000000e+03,6.630669832229614258e-01
2.113000000000000000e+03,6.896640062332153320e-01
2.114000000000000000e+03,7.222840189933776855e-01
2.115000000000000000e+03,7.565289735794067383e-01
2.116000000000000000e+03,7.764629721641540527e-01
2.117000000000000000e+03,7.926669716835021973e-01
2.118000000000000000e+03,8.137159943580627441e-01
2.119000000000000000e+03,8.360009789466857910e-01
2.120000000000000000e+03,8.463439941406250000e-01
2.121000000000000000e+03,8.537139892578125000e-01
2.122000000000000000e+03,8.678449988365173340e-01
2.123000000000000000e+03,8.836150169372558594e-01
2.124000000000000000e+03,8.864110112190246582e-01
2.125000000000000000e+03,8.861269950866699219e-01
2.126000000000000000e+03,8.952320218086242676e-01
2.127000000000000000e+03,9.065269827842712402e-01
2.128000000000000000e+03,9.097390174865722656e-01
2.129000000000000000e+03,9.110910296440124512e-01
2.130000000000000000e+03,9.179850220680236816e-01
2.131000000000000000e+03,9.261310100555419922e-01
2.132000000000000000e+03,9.296929836273193359e-01
2.133000000000000000e+03,9.322270154953002930e-01
2.134000000000000000e+03,9.365440011024475098e-01
2.135000000000000000e+03,9.414060115814208984e-01
2.136000000000000000e+03,9.425709843635559082e-01
2.137000000000000000e+03,9.429519772529602051e-01
2.138000000000000000e+03,9.431120157241821289e-01
2.139000000000000000e+03,9.431939721107482910e-01
2.140000000000000000e+03,9.451680183410644531e-01
2.141000000000000000e+03,9.475370049476623535e-01
2.142000000000000000e+03,9.487760066986083984e-01
2.143000000000000000e+03,9.496939778327941895e-01
2.144000000000000000e+03,9.496430158615112305e-01
2.145000000000000000e+03,9.494000077247619629e-01
2.146000000000000000e+03,9.525510072708129883e-01
2.147000000000000000e+03,9.566349983215332031e-01
2.148000000000000000e+03,9.530829787254333496e-01
2.149000000000000000e+03,9.474229812622070312e-01
2.150000000000000000e+03,9.490939974784851074e-01
2.151000000000000000e+03,9.527729749679565430e-01
2.152000000000000000e+03,9.508739709854125977e-01
2.153000000000000000e+03,9.474769830703735352e-01
2.154000000000000000e+03,9.470139741897583008e-01
2.155000000000000000e+03,9.470850229263305664e-01
2.156000000000000000e+03,9.518120288848876953e-01
2.157000000000000000e+03,9.577170014381408691e-01
2.158000000000000000e+03,9.533320069313049316e-01
2.159000000000000000e+03,9.464120268821716309e-01
2.160000000000000000e+03,9.477779865264892578e-01
2.161000000000000000e+03,9.511190056800842285e-01
2.162000000000000000e+03,9.516410231590270996e-01
2.163000000000000000e+03,9.515179991722106934e-01
2.164000000000000000e+03,9.486439824104309082e-01
2.165000000000000000e+03,9.449560046195983887e-01
2.166000000000000000e+03,9.425150156021118164e-01
2.167000000000000000e+03,9.403110146522521973e-01
2.168000000000000000e+03,9.434000253677368164e-01
2.169000000000000000e+03,9.479230046272277832e-01
2.170000000000000000e+03,9.450100064277648926e-01
2.171000000000000000e+03,9.402130246162414551e-01
2.172000000000000000e+03,9.387369751930236816e-01
2.173000000000000000e+03,9.380599856376647949e-01
2.174000000000000000e+03,9.418590068817138672e-01
2.175000000000000000e+03,9.470189809799194336e-01
2.176000000000000000e+03,9.465540051460266113e-01
2.177000000000000000e+03,9.444820284843444824e-01
2.178000000000000000e+03,9.474139809608459473e-01
2.179000000000000000e+03,9.516609907150268555e-01
2.180000000000000000e+03,9.492830038070678711e-01
2.181000000000000000e+03,9.453179836273193359e-01
2.182000000000000000e+03,9.399390220642089844e-01
2.183000000000000000e+03,9.341419935226440430e-01
2.184000000000000000e+03,9.354929924011230469e-01
2.185000000000000000e+03,9.388200044631958008e-01
2.186000000000000000e+03,9.392529726028442383e-01
2.187000000000000000e+03,9.389550089836120605e-01
2.188000000000000000e+03,9.346749782562255859e-01
2.189000000000000000e+03,9.291620254516601562e-01
2.190000000000000000e+03,9.270849823951721191e-01
2.191000000000000000e+03,9.256920218467712402e-01
2.192000000000000000e+03,9.305080175399780273e-01
2.193000000000000000e+03,9.368990063667297363e-01
2.194000000000000000e+03,9.339079856872558594e-01
2.195000000000000000e+03,9.279839992523193359e-01
2.196000000000000000e+03,9.309809803962707520e-01
2.197000000000000000e+03,9.364719986915588379e-01
2.198000000000000000e+03,9.357759952545166016e-01
2.199000000000000000e+03,9.335229992866516113e-01
2.200000000000000000e+03,9.351320266723632812e-01
2.201000000000000000e+03,9.375920295715332031e-01
2.202000000000000000e+03,9.462170004844665527e-01
2.203000000000000000e+03,9.565669894218444824e-01
2.204000000000000000e+03,9.556609988212585449e-01
2.205000000000000000e+03,9.519910216331481934e-01
2.206000000000000000e+03,9.566659927368164062e-01
2.207000000000000000e+03,9.631350040435791016e-01
2.208000000000000000e+03,9.644420146942138672e-01
2.209000000000000000e+03,9.643650054931640625e-01
2.210000000000000000e+03,9.635229706764221191e-01
2.211000000000000000e+03,9.624339938163757324e-01
2.212000000000000000e+03,9.629049897193908691e-01
2.213000000000000000e+03,9.636849761009216309e-01
2.214000000000000000e+03,9.624729752540588379e-01
2.215000000000000000e+03,9.607409834861755371e-01
2.216000000000000000e+03,9.592390060424804688e-01
2.217000000000000000e+03,9.578139781951904297e-01
2.218000000000000000e+03,9.577810168266296387e-01
2.219000000000000000e+03,9.580410122871398926e-01
2.220000000000000000e+03,9.532740116119384766e-01
2.221000000000000000e+03,9.471600055694580078e-01
2.222000000000000000e+03,9.517059922218322754e-01
2.223000000000000000e+03,9.588329792022705078e-01
2.224000000000000000e+03,9.602119922637939453e-01
2.225000000000000000e+03,9.603390097618103027e-01
2.226000000000000000e+03,9.547849893569946289e-01
2.227000000000000000e+03,9.476959705352783203e-01
2.228000000000000000e+03,9.519649744033813477e-01
2.229000000000000000e+03,9.590600132942199707e-01
2.230000000000000000e+03,9.605540037155151367e-01
2.231000000000000000e+03,9.607639908790588379e-01
2.232000000000000000e+03,9.557499885559082031e-01
2.233000000000000000e+03,9.492610096931457520e-01
2.234000000000000000e+03,9.532449841499328613e-01
2.235000000000000000e+03,9.599699974060058594e-01
2.236000000000000000e+03,9.637359976768493652e-01
2.237000000000000000e+03,9.667860269546508789e-01
2.238000000000000000e+03,9.643149971961975098e-01
2.239000000000000000e+03,9.601730108261108398e-01
2.240000000000000000e+03,9.654729962348937988e-01
2.241000000000000000e+03,9.734159708023071289e-01
2.242000000000000000e+03,9.776369929313659668e-01
2.243000000000000000e+03,9.809039831161499023e-01
2.244000000000000000e+03,9.827600121498107910e-01
2.245000000000000000e+03,9.841549992561340332e-01
2.246000000000000000e+03,9.846929907798767090e-01
2.247000000000000000e+03,9.850559830665588379e-01
2.248000000000000000e+03,9.914860129356384277e-01
2.249000000000000000e+03,9.995999932289123535e-01
2.250000000000000000e+03,9.976540207862854004e-01
2.251000000000000000e+03,9.931529760360717773e-01
2.252000000000000000e+03,9.924690127372741699e-01
2.253000000000000000e+03,9.926750063896179199e-01
2.254000000000000000e+03,9.958940148353576660e-01
2.255000000000000000e+03,1.000000000000000000e+00
2.256000000000000000e+03,9.992790222167968750e-01
