wavelength_nm,srf
6.250000000000000000e+02,0.000000000000000000e+00
6.260000000000000000e+02,2.699999895412474871e-04
6.270000000000000000e+02,8.950000046752393246e-04
6.280000000000000000e+02,1.850000000558793545e-03
6.290000000000000000e+02,3.648000070825219154e-03
6.300000000000000000e+02,7.197000086307525635e-03
6.310000000000000000e+02,1.451500039547681808e-02
6.320000000000000000e+02,3.043200075626373291e-02
6.330000000000000000e+02,6.686100363731384277e-02
6.340000000000000000e+02,1.485179960727691650e-01
6.350000000000000000e+02,2.997780144214630127e-01
6.360000000000000000e+02,5.268120169639587402e-01
6.370000000000000000e+02,7.644429802894592285e-01
6.380000000000000000e+02,9.054729938507080078e-01
6.390000000000000000e+02,9.479489922523498535e-01
6.400000000000000000e+02,9.508230090141296387e-01
6.410000000000000000e+02,9.474179744720458984e-01
6.420000000000000000e+02,9.518309831619262695e-01
6.430000000000000000e+02,9.627050161361694336e-01
6.440000000000000000e+02,9.750750064849853516e-01
6.450000000000000000e+02,9.841729998588562012e-01
6.460000000000000000e+02,9.836130142211914062e-01
6.470000000000000000e+02,9.834340214729309082e-01
6.480000000000000000e+02,9.829109907150268555e-01
6.490000000000000000e+02,9.736359715461730957e-01
6.500000000000000000e+02,9.594410061836242676e-01
6.510000000000000000e+02,9.556409716606140137e-01
6.520000000000000000e+02,9.555479884147644043e-01
6.530000000000000000e+02,9.533370137214660645e-01
6.540000000000000000e+02,9.566280245780944824e-01
6.550000000000000000e+02,9.816880226135253906e-01
6.560000000000000000e+02,1.000000000000000000e+00
6.570000000000000000e+02,9.923880100250244141e-01
6.580000000000000000e+02,9.846150279045104980e-01
6.590000000000000000e+02,9.815679788589477539e-01
6.600000000000000000e+02,9.769600033760070801e-01
6.610000000000000000e+02,9.729800224304199219e-01
6.620000000000000000e+02,9.810799956321716309e-01
6.630000000000000000e+02,9.968039989471435547e-01
6.640000000000000000e+02,9.921420216560363770e-01
6.650000000000000000e+02,9.806780219078063965e-01
6.660000000000000000e+02,9.640020132064819336e-01
6.670000000000000000e+02,9.621539711952209473e-01
6.680000000000000000e+02,9.707779884338378906e-01
6.690000000000000000e+02,9.671800136566162109e-01
6.700000000000000000e+02,9.669280052185058594e-01
6.710000000000000000e+02,9.499279856681823730e-01
6.720000000000000000e+02,8.488550186157226562e-01
6.730000000000000000e+02,6.093590259552001953e-01
6.740000000000000000e+02,3.163500130176544189e-01
6.750000000000000000e+02,1.239460036158561707e-01
6.760000000000000000e+02,4.603299871087074280e-02
6.770000000000000000e+02,1.770200021564960480e-02
6.780000000000000000e+02,7.333000190556049347e-03
6.790000000000000000e+02,3.204999957233667374e-03
6.800000000000000000e+02,1.401999965310096741e-03
6.810000000000000000e+02,5.540000274777412415e-04
6.820000000000000000e+02,1.170000032288953662e-04
6.830000000000000000e+02,0.000000000000000000e+00
6.840000000000000000e+02,0.000000000000000000e+00
6.850000000000000000e+02,0.000000000000000000e+00
6.860000000000000000e+02,0.000000000000000000e+00
6.870000000000000000e+02,0.000000000000000000e+00
6.880000000000000000e+02,0.000000000000000000e+00
6.890000000000000000e+02,0.000000000000000000e+00
6.900000000000000000e+02,0.000000000000000000e+00
6.910000000000000000e+02,0.000000000000000000e+00
