wavelength_nm,srf
1.515000000000000000e+03,0.000000000000000000e+00
1.516000000000000000e+03,6.700000085402280092e-05
1.517000000000000000e+03,1.510000001871958375e-04
1.518000000000000000e+03,2.490000042598694563e-04
1.519000000000000000e+03,3.480000013951212168e-04
1.520000000000000000e+03,4.659999976865947247e-04
1.521000000000000000e+03,5.849999724887311459e-04
1.522000000000000000e+03,7.580000092275440693e-04
1.523000000000000000e+03,9.319999953731894493e-04
1.524000000000000000e+03,1.150000025518238544e-03
1.525000000000000000e+03,1.368999946862459183e-03
1.526000000000000000e+03,1.612999942153692245e-03
1.527000000000000000e+03,1.858999952673912048e-03
1.528000000000000000e+03,2.172000007703900337e-03
1.529000000000000000e+03,2.488000085577368736e-03
1.530000000000000000e+03,2.881000051274895668e-03
1.531000000000000000e+03,3.277000039815902710e-03
1.532000000000000000e+03,3.772000083699822426e-03
1.533000000000000000e+03,4.271000158041715622e-03
1.534000000000000000e+03,4.898000042885541916e-03
1.535000000000000000e+03,5.528000183403491974e-03
1.536000000000000000e+03,6.421000231057405472e-03
1.537000000000000000e+03,7.319000083953142166e-03
1.538000000000000000e+03,8.458999916911125183e-03
1.539000000000000000e+03,9.606000036001205444e-03
1.540000000000000000e+03,1.098900008946657181e-02
1.541000000000000000e+03,1.237200014293193817e-02
1.542000000000000000e+03,1.430299971252679825e-02
1.543000000000000000e+03,1.624800078570842743e-02
1.544000000000000000e+03,1.902900077402591705e-02
1.545000000000000000e+03,2.183100022375583649e-02
1.546000000000000000e+03,2.589000016450881958e-02
1.547000000000000000e+03,2.995200082659721375e-02
1.548000000000000000e+03,3.517099842429161072e-02
1.549000000000000000e+03,4.043399915099143982e-02
1.550000000000000000e+03,4.786400124430656433e-02
1.551000000000000000e+03,5.535199865698814392e-02
1.552000000000000000e+03,6.573200225830078125e-02
1.553000000000000000e+03,7.616599649190902710e-02
1.554000000000000000e+03,8.902399986982345581e-02
1.555000000000000000e+03,1.018930003046989441e-01
1.556000000000000000e+03,1.201499998569488525e-01
1.557000000000000000e+03,1.386419981718063354e-01
1.558000000000000000e+03,1.631270051002502441e-01
1.559000000000000000e+03,1.878030002117156982e-01
1.560000000000000000e+03,2.202609926462173462e-01
1.561000000000000000e+03,2.528940141201019287e-01
1.562000000000000000e+03,2.913590073585510254e-01
1.563000000000000000e+03,3.299390077590942383e-01
1.564000000000000000e+03,3.756479918956756592e-01
1.565000000000000000e+03,4.214699864387512207e-01
1.566000000000000000e+03,4.735600054264068604e-01
1.567000000000000000e+03,5.256810188293457031e-01
1.568000000000000000e+03,5.787870287895202637e-01
1.569000000000000000e+03,6.316450238227844238e-01
1.570000000000000000e+03,6.766830086708068848e-01
1.571000000000000000e+03,7.212820053100585938e-01
1.572000000000000000e+03,7.547699809074401855e-01
1.573000000000000000e+03,7.882480025291442871e-01
1.574000000000000000e+03,8.211550116539001465e-01
1.575000000000000000e+03,8.540650010108947754e-01
1.576000000000000000e+03,8.733699917793273926e-01
