wavelength_nm,srf
5.120000000000000000e+02,0.000000000000000000e+00
5.130000000000000000e+02,1.599999995960388333e-05
5.140000000000000000e+02,1.100000008591450751e-04
5.150000000000000000e+02,2.469999890308827162e-04
5.160000000000000000e+02,3.619999915827065706e-04
5.170000000000000000e+02,6.479999865405261517e-04
5.180000000000000000e+02,9.350000182166695595e-04
5.190000000000000000e+02,1.332000014372169971e-03
5.200000000000000000e+02,1.815999974496662617e-03
5.210000000000000000e+02,2.515000058338046074e-03
5.220000000000000000e+02,3.445999929681420326e-03
5.230000000000000000e+02,4.879999905824661255e-03
5.240000000000000000e+02,7.023999933153390884e-03
5.250000000000000000e+02,1.044099964201450348e-02
5.260000000000000000e+02,1.624700054526329041e-02
5.270000000000000000e+02,2.551300078630447388e-02
5.280000000000000000e+02,4.145099967718124390e-02
5.290000000000000000e+02,7.055100053548812866e-02
5.300000000000000000e+02,1.234439983963966370e-01
5.310000000000000000e+02,2.116799950599670410e-01
5.320000000000000000e+02,3.538849949836730957e-01
5.330000000000000000e+02,5.458559989929199219e-01
5.340000000000000000e+02,7.412049770355224609e-01
5.350000000000000000e+02,8.652250170707702637e-01
5.360000000000000000e+02,9.273959994316101074e-01
5.370000000000000000e+02,9.546269774436950684e-01
5.380000000000000000e+02,9.541630148887634277e-01
5.390000000000000000e+02,9.592149853706359863e-01
5.400000000000000000e+02,9.613280296325683594e-01
5.410000000000000000e+02,9.649019837379455566e-01
5.420000000000000000e+02,9.698730111122131348e-01
5.430000000000000000e+02,9.524890184402465820e-01
5.440000000000000000e+02,9.613969922065734863e-01
5.450000000000000000e+02,9.782699942588806152e-01
5.460000000000000000e+02,9.775329828262329102e-01
5.470000000000000000e+02,9.770010113716125488e-01
5.480000000000000000e+02,9.808840155601501465e-01
5.490000000000000000e+02,9.907839894294738770e-01
5.500000000000000000e+02,1.000000000000000000e+00
5.510000000000000000e+02,9.922639727592468262e-01
5.520000000000000000e+02,9.826419949531555176e-01
5.530000000000000000e+02,9.838320016860961914e-01
5.540000000000000000e+02,9.777650237083435059e-01
5.550000000000000000e+02,9.650809764862060547e-01
5.560000000000000000e+02,9.573140144348144531e-01
5.570000000000000000e+02,9.462450146675109863e-01
5.580000000000000000e+02,9.478710293769836426e-01
5.590000000000000000e+02,9.590380191802978516e-01
5.600000000000000000e+02,9.665340185165405273e-01
5.610000000000000000e+02,9.776560068130493164e-01
5.620000000000000000e+02,9.664469957351684570e-01
5.630000000000000000e+02,9.533990025520324707e-01
5.640000000000000000e+02,9.583140015602111816e-01
5.650000000000000000e+02,9.700390100479125977e-01
5.660000000000000000e+02,9.786069989204406738e-01
5.670000000000000000e+02,9.833970069885253906e-01
5.679999389648437500e+02,9.809600114822387695e-01
5.690000000000000000e+02,9.745219945907592773e-01
5.700000000000000000e+02,9.672290086746215820e-01
5.710000000000000000e+02,9.794059991836547852e-01
5.720000000000000000e+02,9.782080054283142090e-01
5.730000000000000000e+02,9.758179783821105957e-01
5.740000000000000000e+02,9.743919968605041504e-01
5.750000000000000000e+02,9.799730181694030762e-01
5.760000000000000000e+02,9.688270092010498047e-01
5.770000000000000000e+02,9.691810011863708496e-01
5.780000610351562500e+02,9.678379893302917480e-01
5.790000610351562500e+02,9.829559922218322754e-01
5.800000000000000000e+02,9.795979857444763184e-01
5.810000000000000000e+02,9.638109803199768066e-01
5.820000000000000000e+02,9.688860177993774414e-01
5.830000000000000000e+02,9.836549758911132812e-01
5.840000000000000000e+02,9.866570234298706055e-01
5.850000000000000000e+02,9.742069840431213379e-01
5.860000000000000000e+02,9.464070200920104980e-01
5.870000000000000000e+02,9.044780135154724121e-01
5.880000000000000000e+02,8.092749714851379395e-01
5.890000610351562500e+02,6.849740147590637207e-01
5.900000000000000000e+02,5.253040194511413574e-01
5.910000000000000000e+02,3.453640043735504150e-01
5.920000000000000000e+02,1.904670000076293945e-01
5.930000000000000000e+02,8.783300220966339111e-02
5.940000000000000000e+02,3.539299964904785156e-02
5.950000000000000000e+02,1.407700031995773315e-02
5.960000000000000000e+02,5.944000091403722763e-03
5.970000000000000000e+02,2.574000041931867599e-03
5.980000000000000000e+02,1.046000048518180847e-03
5.990000000000000000e+02,3.940000024158507586e-04
6.000000000000000000e+02,8.499999967170879245e-05
6.010000000000000000e+02,0.000000000000000000e+00
6.020000000000000000e+02,0.000000000000000000e+00
6.030000000000000000e+02,0.000000000000000000e+00
6.040000000000000000e+02,0.000000000000000000e+00
6.050000000000000000e+02,0.000000000000000000e+00
6.060000000000000000e+02,0.000000000000000000e+00
6.070000000000000000e+02,0.000000000000000000e+00
6.080000000000000000e+02,0.000000000000000000e+00
6.090000000000000000e+02,0.000000000000000000e+00
6.100000000000000000e+02,0.000000000000000000e+00
